倪铁宝,拉萨,好看    比起前两部好看,5.0,2018-12-03 19:59:07
黑哥的小生活,开封,挺不错的，可以算是留下了伏笔吗,4.0,2018-12-03 19:58:45
cMQ666060351,红河,特别特别特别棒，值得一看,5.0,2018-12-03 19:58:03
rvx653316466,日照,好看，精彩，不容错过，。,5.0,2018-12-03 19:57:13
无聊喲,苏州,就是有点短。,5.0,2018-12-03 19:57:11
cvg633587051,东莞,一个人去看的，好看,5.0,2018-12-03 19:57:02
alqscool,成都,个人觉得就是部辣鸡科幻片！不知道怎么来的这评分,0.5,2018-12-03 19:55:51
卫民张,临汾,影片不错，横店影视城的硬件软件服务有待提高！,5.0,2018-12-03 19:55:17
rlv149979406,青岛,很好看，环境不错,5.0,2018-12-03 19:55:06
swq360,马鞍山,还不错，就是结束的太唐突了,4.0,2018-12-03 19:54:24
isobiao,东莞,整体感觉良好。非常满意！,5.0,2018-12-03 19:53:47
tWQ574647715,丹东,真的期待下一部,5.0,2018-12-03 19:53:44
_qqwdk1434113190,邹城,一家四口，享受过程中,4.5,2018-12-03 19:53:29
oiv435017080,成都,挺好的，推荐看,4.0,2018-12-03 19:52:43
选择7658,黄山,不错很幽默的,5.0,2018-12-03 19:51:37
Vcx308222229,长治,还行，感觉剧情有点儿分散！,4.5,2018-12-03 19:49:46
夜雨微澜,苏州,很棒，我很喜欢毒液,5.0,2018-12-03 19:49:33
HLg803933907,西安,挺好看的😊🐽️,4.0,2018-12-03 19:49:26
nkx628963729,北京,好的呢吗啡…,5.0,2018-12-03 19:49:07
奇980,福州,***好看了,5.0,2018-12-03 19:48:59
手可摘星辰6688,郑州,好看，不错，可以去看看、挺喜欢这样的电影,5.0,2018-12-03 19:47:51
丶吃遍全世界,哈尔滨,还行吧，效果挺不错,5.0,2018-12-03 19:47:47
liyina,孝感,不错，很好看,5.0,2018-12-03 19:44:58
Shirley,兴城,毒液太可爱了,4.5,2018-12-03 19:44:34
SYT843,长沙,不错，挺喜欢的,4.5,2018-12-03 19:43:35
叶倁秋,宝鸡,漫威从来没让我失望过，很期待第二部！,5.0,2018-12-03 19:43:12
Krystal.cjx,南昌,挺好看的。。。。,4.0,2018-12-03 19:42:12
